administration_date,fips,locality,health_district,facility_type,vaccine_manufacturer,dose_number,vaccine_doses_administered,Population,region
2021-06-23,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,27,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,4,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,13,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,11,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,1,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,2,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,6,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,10,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,6,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,7,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,54,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,28,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,10,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,20,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,20,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,11,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,7,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,23,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,4,0,other
2021-06-23,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,46,0,other
2021-06-23,Out of State,Out of State,Out of State,Pharmacies,J&J,1,16,0,other
2021-06-23,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,2,0,other
2021-06-23,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,1,0,other
2021-06-23,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,2,0,other
2021-06-23,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,2,0,other
2021-06-23,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,5,0,other
2021-06-23,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,24,0,other
2021-06-23,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,1,0,other
2021-06-23,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,4,0,other
2021-06-23,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,1,0,other
2021-06-23,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,1,0,other
2021-06-23,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,5,0,other
2021-06-23,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,7,0,other
2021-06-23,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,45,0,other
2021-06-23,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,14,0,other
2021-06-23,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,9,0,other
2021-06-23,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,45,0,other
2021-06-23,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,18,0,other
2021-06-23,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,1,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,19,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,64,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,201,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,151,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,3,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,50,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,7,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,29,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,10,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,32,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,3,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,21,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,15,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,50,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,2,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,71,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,38,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,9,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,3,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Hospitals,J&J,1,2,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,4,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,57,0,other
2021-06-22,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,13,0,other
2021-06-22,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,173,0,other
2021-06-22,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,73,0,other
2021-06-22,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,1,0,other
2021-06-22,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,159,0,other
2021-06-22,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,2,0,other
2021-06-22,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,7,0,other
2021-06-22,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,10,0,other
2021-06-22,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,92,0,other
2021-06-22,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,2,0,other
2021-06-22,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,11,0,other
2021-06-22,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,6,0,other
2021-06-22,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,6,0,other
2021-06-22,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,10,0,other
2021-06-22,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,2,0,other
2021-06-22,Out of State,Out of State,Out of State,Pharmacies,J&J,1,25,0,other
2021-06-22,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,1,0,other
2021-06-22,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,5,0,other
2021-06-22,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,8,0,other
2021-06-22,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,22,0,other
2021-06-22,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,3,0,other
