fips,locality,population,Total_doses,One_dose,Fully_vaccinated,Total_doses_rate,One_dose_rate,Fully_vaccinated_rate
51001,Accomack,32673,29235,15916,14644,89478,48713,89478
51003,Albemarle,107405,135837,73950,68229,126472,68852,126472
51005,Alleghany,15157,12888,7236,6301,85030,47740,85030
51007,Amelia,12953,9917,5525,5011,76561,42654,76561
51009,Amherst,31775,25537,13617,12626,80368,42854,80368
51011,Appomattox,15707,11964,6342,5850,76170,40377,76170
51013,Arlington,233464,263059,145120,131862,112676,62159,112676
51015,Augusta,75079,67242,36955,34702,89562,49221,89562
51017,Bath,4307,3708,1996,1826,86092,46343,86092
51019,Bedford,78376,64645,34958,31968,82481,44603,82481
51021,Bland,6388,4619,2551,2279,72307,39934,72307
51023,Botetourt,33343,31125,17468,16135,93348,52389,93348
51025,Brunswick,16520,12092,6617,6034,73196,40054,73196
51027,Buchanan,21788,16443,8801,7925,75468,40394,75468
51029,Buckingham,17059,13695,7736,6772,80280,45348,80280
51031,Campbell,55225,42875,23005,21109,77637,41657,77637
51033,Caroline,30381,24718,13304,12133,81360,43791,81360
51035,Carroll,29801,18585,10336,9383,62364,34683,62364
51036,Charles City,7014,6472,3723,3517,92273,53080,92273
51037,Charlotte,12040,9205,5137,4603,76453,42666,76453
51041,Chesterfield,343551,361585,194240,176376,105249,56539,105249
51043,Clarke,14423,14714,8041,7352,102018,55751,102018
51045,Craig,5110,3518,1958,1840,68845,38317,68845
51047,Culpeper,51101,47214,25660,23438,92393,50214,92393
51049,Cumberland,9824,7529,4163,3746,76639,42376,76639
51051,Dickenson,14756,10872,6003,5264,73679,40682,73679
51053,Dinwiddie,28485,20229,11222,10287,71016,39396,71016
51057,Essex,10998,10342,5535,5116,94035,50327,94035
51059,Fairfax,1145862,1351365,725598,659454,117934,63323,117934
51061,Fauquier,69728,72616,39500,35751,104142,56649,104142
51063,Floyd,15704,11923,6825,6357,75923,43460,75923
51065,Fluvanna,26594,28837,15730,14479,108434,59149,108434
51067,Franklin County,56187,43531,23267,21490,77475,41410,77475
51069,Frederick,86415,76667,42211,37950,88720,48847,88720
51071,Giles,16772,13950,7739,6998,83174,46142,83174
51073,Gloucester,37222,34638,18444,17168,93058,49551,93058
51075,Goochland,22865,28049,15191,14291,122672,66438,122672
51077,Grayson,15742,11148,6162,5558,70817,39144,70817
51079,Greene,19519,19653,10806,9971,100687,55361,100687
51081,Greensville,11525,8247,4450,3883,71557,38612,71557
51083,Halifax,34552,25621,13714,12606,74152,39691,74152
51085,Hanover,105537,116707,63319,59641,110584,59997,110584
51087,Henrico,327535,357663,194005,176829,109198,59232,109198
51089,Henry,51308,38835,20999,18724,75690,40927,75690
51091,Highland,2204,2174,1131,1087,98639,51316,98639
